model,accuracy,precision,recall,f1,roc_auc,stage
Logistic Regression (Tuned),0.885782475281282,0.3617511520737327,0.7302325581395349,0.48382126348228044,0.8631637489946438,tuned
SVM (Tuned),0.9679509035117627,0.7641921397379913,0.813953488372093,0.7882882882882883,0.9539230282184232,tuned
Random Forest (Tuned),0.9836345039209001,0.9826589595375722,0.7906976744186046,0.8762886597938144,0.9843044646371306,tuned
LGBMClassifier (Tuned),0.984998295260825,1.0,0.7953488372093023,0.8860103626943006,0.9769358454403887,tuned
DeepFM (Tuned),0.8758949880668258,0.31139240506329113,0.5720930232558139,0.40327868852459015,0.8167719082088404,tuned
Soft Voting Ensemble (Tuned),0.9836345039209001,0.9826589595375722,0.7906976744186046,0.8762886597938144,0.9631688827284084,tuned
Stacking Ensemble (Tuned),0.9836345039209001,0.9717514124293786,0.8,0.8775510204081632,0.9814056163047384,tuned
