model,accuracy,precision,recall,f1,roc_auc,stage
Logistic Regression (Base),0.9440845550630753,0.8072289156626506,0.3116279069767442,0.44966442953020136,0.8490442698974965,base
SVM (Base),0.9266962154790317,0.0,0.0,0.0,0.497419443161011,base
Random Forest (Base),0.9846573474258439,1.0,0.7906976744186046,0.8831168831168831,0.9826958947242329,base
LGBMClassifier (Base),0.9836345039209001,0.9826589595375722,0.7906976744186046,0.8762886597938144,0.9719817923575818,base
DeepFM (Base),0.9266962154790317,0.0,0.0,0.0,0.5983041566131047,base
Soft Voting Ensemble (Base),0.9846573474258439,1.0,0.7906976744186046,0.8831168831168831,0.9735458699111863,base
Stacking Ensemble (Base),0.9839754517558813,0.9883720930232558,0.7906976744186046,0.8785529715762274,0.966813833701251,base
