model,accuracy,precision,recall,f1,roc_auc,stage
Logistic Regression (Balanced),0.872144561882032,0.3283261802575107,0.7116279069767442,0.44933920704845814,0.8631962626418193,balanced
SVM (Balanced),0.6372315035799523,0.10947562097516099,0.5534883720930233,0.1827956989247312,0.6654961753683454,balanced
Random Forest (Balanced),0.9839754517558813,0.9883720930232558,0.7906976744186046,0.8785529715762274,0.9856281123260947,balanced
LGBMClassifier (Balanced),0.9836345039209001,0.9771428571428571,0.7953488372093023,0.8769230769230769,0.9735544261341273,balanced
DeepFM (Balanced),0.8758949880668258,0.31139240506329113,0.5720930232558139,0.40327868852459015,0.8167719082088404,balanced
Soft Voting Ensemble (Balanced),0.9832935560859188,0.9715909090909091,0.7953488372093023,0.8746803069053708,0.9638242894056848,balanced
Stacking Ensemble (Balanced),0.9839754517558813,0.9827586206896551,0.7953488372093023,0.8791773778920309,0.98243407430224,balanced
